I-ORG,counts
Houses,2
Alfa,2
Holocaust,2
"Det, Nye",2
Holmens,2
Aller,2
Himmelfartsdag,2
Hilton,2
Alliances,2
DFU,2
Hells,2
"Det, Teologiske, Fakultet",2
DF,2
Helles,2
"Helle, Skårup",2
Ekstra,2
Elefanten,2
Human,2
Frederiksberg,2
"Frederiks, -",2
Faders,2
CS,2
France,2
"Fr, SK",2
CERN,2
Forest,2
Finansministeriet,2
Force,2
"Foot, ”, .",2
Fona,2
Bud,2
"Brugsen, –",2
Folkeblad,2
"Brøndby, Strand",2
Bora,2
Capitol,2
Emerald,2
"FC, Midtjylland",2
Gammel,2
"Emma, Lines",2
Christianskirken,2
Berlinmuren,2
Besættelsen,2
"Games, ”",2
Enhedslistens,2
GE,2
Eu,2
Europa,2
Blue,2
Expressen,2
FB,2
FBI,2
"FC, København",2
"Hudson, Bay",2
"Brøndby, Stadion",2
AF,2
AaB,2
"Dansk, Røde, Kors",2
"Islamisk, Trossamfund",2
"Dalai, Lama",2
"De, Olympiske, Lege",2
"Danmarks, Havn",2
Hærs,2
"Indre, Missions",2
ATV,2
"Hvidovre, Butikstorv",2
Aftenshowet,2
"De, Vise",2
"Islamisk, Stats",2
Aarhus,2
Danida,2
"Den, Hellige",2
ABC,2
Hus,2
Irma,2
"Den, Olympiske",2
Dag,2
AS,2
Ik,2
Ungdom,1
dynasti,1
"Ungdommens, Røde, Kors",1
"Vestre, Skoles",1
"eks, -",1
eftergiver,1
Champions,1
efterretningsvæsen,1
"United, Airlines",1
ekstrabladet,1
Centrum,1
Center,1
enhedslistens,1
enkemanden,1
etiopiske,1
Unicef,1
"Dansk, Industri",1
drejers,1
"Dansk, Bibel, Institut",1
circus,1
Citroën,1
Cirkusrevyen,1
"Danmarks, riges",1
Utøya,1
Circus,1
credo,1
Churches,1
danske,1
"Christian, Quarter, Road",1
University,1
"Charlton, Heston",1
"Chicago, ”",1
Universitets,1
demokratis,1
"Dansk, Camping, Union",1
depeche,1
Chelsea,1
europæiske,1
djøf,1
domhuset,1
dr1,1
Cayman,1
Cannes,1
Casino,1
"Danske, Folkeparti",1
"UEFA, –",1
frihedsrådet,1
fritiden,1
Børnenes,1
Børn,1
"Danske, Bibelselskab",1
fyrrerne,1
føtex,1
garde,1
generalstab,1
UC,1
"Bush, osv",1
"franske, landshold",1
"Tønder, Museum",1
glory,1
"Danske, Kirke",1
grundtvigsk,1
"Buckingham, Palace",1
"Danske, Kirkers, Råd",1
guddommelige,1
gymnasie,1
"Brønshøj, ’",1
Twitter,1
"hammel, –",1
frelsers,1
"franske, kolonistyre",1
Carnegie,1
Ubuntu,1
"Capitol, Hill",1
Ultimate,1
eventen,1
Ugandas,1
"Uefa, Cup",1
Camp,1
"fangelejren, Camp",1
farisæernes,1
festivallen,1
fiat,1
Camel,1
"fif, ”",1
CBS,1
filmselskabet,1
CV,1
flyvevåbnet,1
fodboldklubben,1
USAs,1
COP17,1
CNN,1
"Dansk, Sprognævn",1
"US, -",1
folketingets,1
"Dansk, Supermarked",1
VIA,1
Coach,1
centurion,1
"Vejle, Sygehus",1
Welcome,1
"Danish, Music, Awards",1
Westminister,1
"Westminster, Abbey",1
Whisky,1
"Velling, ”",1
WikiLeaks,1
DDs,1
"World, Alliance",1
"World, Trade",1
"Vejle, town",1
"World, Trads",1
cathedral,1
Cubakrisen,1
Youtube,1
ZOO,1
Crouch,1
Credo,1
Cowboys,1
"af, Oxford",1
"Vejle, Missionshus",1
afdøde,1
aftenposten,1
aftenshowet,1
"Washington, DC",1
DI,1
Wasa,1
DNSAP,1
"Viborg, Katedralskole",1
"Viborg, Katedralskole, –",1
Vichy,1
Vestkysten,1
"Vichy, ”",1
Daells,1
DT,1
Vin,1
Vitskøl,1
"DR, P2",1
"DR, P1",1
Vor,1
Vår,1
"Vestervig, menighedsråd",1
"Verdenssundhedsorganisationen, WHO",1
WARS,1
Verdensbanken,1
Waffen,1
"Verdens, Ende",1
"Waffen, -, SS",1
DONG,1
"Walt, Disney",1
Warner,1
"Council, of",1
"Copenhagen, Pride",1
"Danmarks, 1",1
beskærer,1
bilfabrikken,1
bilka,1
"Danmarks, Meteorologiske, Institut",1
Vajsenhuset,1
"Danmarks, Pædagogisk, Universitet",1
"Coop, –",1
blomsterede,1
bluff,1
Comfort,1
bordtennis,1
Coldplay,1
brasilianeren,1
brasilianerne,1
Cola,1
VW,1
"britiske, kongehus",1
"britiske, parlament",1
VK,1
Viborg,1
"Club, –",1
"Danmarks, Statistik",1
Club,1
City,1
besættelsesmagt,1
berømmelige,1
alert,1
Van,1
allemandsland,1
Vega,1
alliances,1
amd,1
"amerikansk, republikansk",1
amerikanske,1
"amerikanske, Hilton",1
"amerikanske, Tea",1
"amerikanske, Tea, Party",1
"amerikanske, senat",1
"Danmarks, Dronning",1
annaler,1
"haute, couture",1
asa,1
atr,1
audi,1
bandidos,1
Vasas,1
Copenhagen,1
beachvolley,1
bedsteforældrene,1
belejrede,1
bellis,1
argentinske,1
junta,1
hebræerbrevet,1
spejderbevægelsen,1
"American, Airlines",1
America,1
stampede,1
statoil,1
statsministeriet,1
"Amager, Banken",1
Almindelig,1
studietiden,1
sundhedsministeriet,1
superb,1
Alliance,1
"supermarkedskæden, Kvickly",1
svejtsiske,1
svenske,1
svovlede,1
"sydafrikanske, apartheid",1
sydamerikanske,1
Alka,1
søndagsavisen,1
søns,1
"teatergruppen, Solvognen",1
teleselskabet,1
tennis,1
testamente,1
Aldi,1
toldvæsenet,1
"torino, Ave",1
spleen,1
spanske,1
toyota,1
sos,1
rigsrevisionen,1
romanske,1
romersk,1
"romersk, katolske",1
Aristoteles,1
"romerske, Kejser",1
"romerske, centurion",1
"romerske, myndigheder",1
"romerske, regime",1
"romerske, senat",1
russiske,1
"russiske, præsident",1
Arbejdstilsynet,1
school,1
"Arbejdernes, Byggeforening",1
seminariet,1
seminarium,1
sim,1
skid,1
skolekommissionen,1
"Anthony, Robbins, Århus",1
Anstalten,1
"slesvig, -",1
Anno,1
socialdemokraterne,1
Anglikanske,1
sonede,1
township,1
transportministeriet,1
"Brøndby, Kunstforening",1
"Århus, Stiftstidende",1
AOF,1
"Århus, Valgmenighed",1
"Århus, kunstmuseum",1
ANC,1
"Æhæh, sla",1
Ældste,1
AK47,1
"Østjyllands, politi",1
Østre,1
"Østre, Landsret",1
"østrig, -, ungarske",1
"østtyske, efterretningstjeneste, Stasi",1
AB,1
AAB,1
90erne,1
"–, idrætsklubben, –",1
’,1
6,1
30erne,1
"”, Glory",1
"”, HC",1
/,1
"-, preussiske",1
"-, Lanka",1
"”, Springer",1
"”, Vasa, ”",1
"”, beskytteren",1
"Århus, Teater",1
"Århus, Kommunehospital",1
tv,1
"Århus, Katedralskole",1
"tv, Københavns",1
"Aksel, Larsens, socialistiske",1
tv3,1
"tyrkiske, landshold",1
"Air, Asia",1
"tyske, Forbund",1
Air,1
tørster,1
udenrigsministeriet,1
udstod,1
uniformerede,1
universitet,1
universiteterne,1
"Afrikas, Horn",1
vagttårnet,1
vejdirektoratet,1
vellugtende,1
venstres,1
"Aalborg, Katedralskole",1
verdensnaturfonden,1
verdslige,1
vredens,1
wars,1
weekendavisen,1
yom,1
Ålborg,1
"Århus, Black",1
Arla,1
Armani,1
Arrest,1
kaglede,1
kapel,1
kapitlet,1
katolsk,1
Borgerlig,1
"katolske, kirkes",1
kejserlige,1
kejserrige,1
Borbjerg,1
klagesangen,1
knights,1
kollegiet,1
kommanderer,1
kommunehospitalet,1
kommunistiske,1
"kommunistiske, parti",1
Bolivias,1
Bolighus,1
Bogense,1
"kongers, Riger",1
konkurrenten,1
konservative,1
kortspillet,1
kp,1
Bog,1
kreditforening,1
kronikken,1
Boeing,1
kantaten,1
"jødiske, Råds",1
Arsenal,1
Borgerservice,1
helbredte,1
himmelfartsdag,1
hjemmeholdet,1
hjemmeværnet,1
hjemvendte,1
"Brøndby, Idrætsforening",1
"Bruxelles, forleden",1
"hollandske, landshold",1
holstenske,1
house,1
hulker,1
Brorsons,1
"British, Airways",1
"hvid, Mercedes, Benz",1
"Brigham, -",1
håndboldklubben,1
Bridge,1
idrætsefterskole,1
ile,1
indiske,1
"Boston, USA",1
jagerfly,1
Dds,1
"Boston, Marathon",1
jyllandsposten,1
"Bornholms, Hospital",1
Bornholmer,1
"Blå, Avis",1
"Blue, Water, Arena",1
"la, Jehovas, Vidner",1
landsholdet,1
Bayern,1
"nordisk, Råds",1
Ballet,1
Bakkehuset,1
BSV,1
oddset,1
opel,1
oplev,1
BG,1
overvældes,1
paradisets,1
parole,1
"pavelige, hof",1
Awards,1
Avis,1
"pines, …",1
"Atlanta, –",1
popstars,1
privatskolen,1
provsten,1
præsidentens,1
pusher,1
Athena,1
Ateitisk,1
ramasjang,1
"Aston, Martin, DB",1
Artilleriet,1
nintendo,1
Bedsteforældrene,1
nazistiske,1
manna,1
landsholds,1
"le, Monde",1
leven,1
Bills,1
Billed,1
Big,1
lovpriser,1
Bibelselskaber,1
Bibelselskab,1
"Bethesda, –",1
mandat,1
Betesda,1
manuscript,1
"Bee, Gees",1
melodigrandprix,1
mensa,1
"Berlingske, tidende",1
michelin,1
miraklet,1
modstandsgruppen,1
Benz,1
msn,1
muslimske,1
"Bellevue, Teater",1
"nationalsocialistiske, parti",1
nationernes,1
"Danske, Kommuner",1
Johannes,1
"De, Britiske",1
"Milano, –",1
Mines,1
Ministeriet,1
Gospelsangene,1
"Mission, Aviation",1
Mobile,1
"Moesgård, Museum",1
Mon,1
Monsters,1
Monti,1
"Morning, Glory",1
Morten,1
Mossad,1
"Goooood, morning, Vietnam",1
Googles,1
Måbjerg,1
Golf,1
"Mærsk, –",1
NASA,1
"Glory, Road",1
NETTO,1
NU,1
Getsemane,1
Garde,1
"National, Geographic",1
Nationalmuseet,1
Gamles,1
Natos,1
Mine,1
Grimms,1
"Nazi, Tysklands",1
Mighty,1
Hamas,1
Magdalen,1
"Malaysian, Airlines",1
Manchester,1
"Manchester, City",1
"Haderslev, Private",1
Marienborg,1
Mark,1
Marmor,1
"Martin, Luthers",1
"Maryland, Universitet",1
HR,1
HK,1
Mattæus,1
"HC, Andersen",1
HBO,1
McLaren,1
"Göteborg, -, Posten",1
Gyldne,1
"Mellemfolkeligt, Samvirke",1
"Mellemkirkelige, Råd",1
Guinness,1
"Mercedes, Benz",1
Messe,1
Messerschmitt,1
"Guardian, angle, ”, .",1
"Midtjyllands, Avis",1
Nazi,1
Ndr,1
MR,1
"Nørre, Jyske, Livregiment",1
Frelser,1
OK,1
OL,1
Frelsens,1
Freja,1
"Odense, Universitetshospital",1
Ole,1
Freds,1
"Omar, Abdel, Hamid, El, -, Hussein",1
One,1
Frederiks,1
Open,1
Operation,1
Orchestra,1
Oregon,1
"Fredericia, Teater",1
"Franske, Revolution",1
Ornitologisk,1
"Oslo, Gospel, Choir",1
"Oslos, byråd",1
Oticon,1
Ottestrup,1
Oxford,1
"Oxford, universitet",1
"Fox, River",1
P3s,1
Forum,1
Nørrebros,1
Nyhederne,1
Nec,1
"Nye, Testamente",1
Nedre,1
"Gamle, Testamentes",1
"Gamisch, -, Partenkirchen",1
Games,1
"-, Aqsa",1
Gallup,1
Gaffa,1
"Nice, Guy",1
Night,1
Nineve,1
Færøernes,1
Fængsel,1
Nobels,1
"Fyns, Stiftstidende",1
"Fyns, Stifts",1
Nord,1
"Fyns, Politi",1
"Nordea, Bank",1
Nordkorea,1
"Nordkorea, Kim, il",1
"Fuller, Seminary",1
Fuglsang,1
"Notre, -",1
Ns,1
Frømandskorpset,1
Frikorps,1
Fridolin,1
"MTV, Awards",1
Hamlets,1
PBS,1
Kildebrønde,1
"Kings, Cross",1
Kippur,1
Iron,1
Kirken,1
Kirkernes,1
Irans,1
Klara,1
Iphone,1
Knesset,1
Kodak,1
"Internationalt, MGP",1
"Kommunal, -",1
Kommunehospitalet,1
Kong,1
Inderne,1
"Independence, Day",1
"Kongelige, Danske, Livgarde",1
"Kongelige, Højhed",1
"Kongelige, Opera",1
Kongeriget,1
Ikast,1
Kongerigets,1
Kongers,1
Konservative,1
"Ignatius, af, Loyola",1
ISS,1
Kristelig,1
Kings,1
Kia,1
IC4,1
Kh,1
"Jingle, bells",1
"Jugoslavien, –",1
Jydske,1
Jingle,1
Jesuitterne,1
"Jyllands, -, Posten",1
"Jesu, Kristi",1
"Jesu, Kors",1
Jessens,1
Jysk,1
Jensens,1
Jazz,1
"Jyske, Vestkysten",1
Jætterne,1
JK,1
JESUS,1
"KFUM, Vestervig",1
"Italiens, Nationale, Kommission",1
KGB,1
"Israels, Premier, Præsident",1
KODA,1
"Islamisk, Stats, menneskefjendske, kalifat",1
Kape,1
Kapel,1
Karnevalet,1
Kastellet,1
Katedral,1
IRA,1
Højskole,1
MH,1
"Herren, Jesus, Krist, vor, Frelser",1
"Herning, Byråd",1
"Helsingør, Idrætsforening",1
"Lille, Bibel",1
"Lille, Vega",1
Helligåndskirken,1
Helliges,1
Lines,1
"Lissabon, ”",1
"Hellige, Land",1
Liverpool,1
"Hellig, Tre, kongers",1
Hebræerbrevet,1
Haugen,1
"Louisville, –",1
"Harvard, universitet",1
Lufthansa,1
"Lunds, universitet",1
Harvard,1
"Luthers, sl",1
"Hans, Rige",1
"Luthersk, Evangeliske",1
"Luthersk, Mission",1
"Hans, Kongelige, Højhed",1
Lysets,1
Handicap,1
Lærde,1
Handels,1
"Herning, Stadion",1
Lege,1
Håndbold,1
Lech,1
Husets,1
Kronen,1
"Humanistisk, Samfund",1
Kræftens,1
"Kræftens, Bekæmpelse",1
Krøniken,1
Kultur,1
Kunstakademiet,1
House,1
Købehavn,1
Hornet,1
"Københavns, Byret",1
"Københavns, Indre, Mission",1
"Københavns, Politigård",1
"Københavns, Sydhavn",1
"Holstebro, ”",1
"Holstebro, Museum, …",1
"Københavns, nordvestkvarter",1
LA,1
Hjerl,1
Himmerigets,1
Lam,1
"Hillsong, Church",1
Landstinget,1
Lars,1
Las,1
League,1
Fortuna,1
Forlaget,1
Tuborg,1
Spanien,1
Spansk,1
Spanske,1
"Det, Tyske, Forbund",1
Sparekassen,1
"Det, Tredje, Riges",1
Spejder,1
Sprognævn,1
Star,1
"Star, Wars",1
Stars,1
"Det, Sixtinske, kapel",1
"Stasi, Smølfer",1
"Statens, Institut",1
"Det, Sixtinske, Kapel",1
"Statens, Museum, for, Kunst",1
"Statoil, Stationer",1
Statskundskab,1
"Det, Radikale, Venstre",1
Stefans,1
Steinway,1
"Det, Palæstinensiske, Bibelselskab",1
"Det, Kongelige, Teater",1
Strø,1
Styrker,1
Su,1
Summit,1
"Det, Kongelige, Danske, Musikkonservatorium",1
"Det, danske, Bibelselskab",1
Sovjetrusland,1
"Det, Kongelige, Bibliotek",1
"Det, kongelige, Teater",1
Silkeborg,1
"Silkeborg, Højskole",1
Discovery,1
Sint,1
"Sint, Jans",1
Direction,1
Diesel,1
Skandinavisk,1
Skanse,1
"Skive, Folkeblad",1
Dickens,1
Skype,1
Skånske,1
Skævinge,1
"Det, teologiske, Fakultet",1
"Sl, 73,13f",1
Slotspladsen,1
